210912_074908
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=6, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=4, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=6, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=4, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=6, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=4, cdp=3, applist=hs eplb, point=3
Experiment finished at 210912_081735
