210728_172039
Conflict for bw of used port in isolation=5.23, bw in codeployment=0, applist=plb hs, point=1,router11, eth1
conflict, bw difference=5.23, applist=plb hs, point=1,router11, eth1
Conflict for bw of used port in isolation=5.67, bw in codeployment=0, applist=plb hs, point=1,router11, eth4
conflict, bw difference=5.67, applist=plb hs, point=1,router11, eth4
Conflict for bw of used port in isolation=5.23, bw in codeployment=0, applist=plb hs, point=2,router11, eth1
conflict, bw difference=5.23, applist=plb hs, point=2,router11, eth1
Conflict for bw of used port in isolation=5.67, bw in codeployment=0, applist=plb hs, point=2,router11, eth4
conflict, bw difference=5.67, applist=plb hs, point=2,router11, eth4
Conflict for bw of used port in isolation=5.23, bw in codeployment=0, applist=plb hs, point=3,router11, eth1
conflict, bw difference=5.23, applist=plb hs, point=3,router11, eth1
Conflict for bw of used port in isolation=5.67, bw in codeployment=0, applist=plb hs, point=3,router11, eth4
conflict, bw difference=5.67, applist=plb hs, point=3,router11, eth4
Experiment finished at 210728_175842
