210728_214828
Conflict for bw of used port in isolation=5.21, bw in codeployment=0, applist=plb hs, point=1,router11, eth1
conflict, bw difference=5.21, applist=plb hs, point=1,router11, eth1
Conflict for bw of used port in isolation=5.48, bw in codeployment=0, applist=plb hs, point=1,router11, eth4
conflict, bw difference=5.48, applist=plb hs, point=1,router11, eth4
Conflict for bw of used port in isolation=5.21, bw in codeployment=0, applist=plb hs, point=2,router11, eth1
conflict, bw difference=5.21, applist=plb hs, point=2,router11, eth1
Conflict for bw of used port in isolation=5.48, bw in codeployment=0, applist=plb hs, point=2,router11, eth4
conflict, bw difference=5.48, applist=plb hs, point=2,router11, eth4
Conflict for bw of used port in isolation=5.21, bw in codeployment=0, applist=plb hs, point=3,router11, eth1
conflict, bw difference=5.21, applist=plb hs, point=3,router11, eth1
Conflict for bw of used port in isolation=5.48, bw in codeployment=0, applist=plb hs, point=3,router11, eth4
conflict, bw difference=5.48, applist=plb hs, point=3,router11, eth4
Experiment finished at 210728_222630
