210908_203009
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d, point=1,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d, point=1,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=1,router11, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d, point=2,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.66, applist=plb pplb4d, point=2,router11, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d, point=3,router9, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb fw, point=4,router9, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb fw, point=5,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.73, applist=plb fw, point=6,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.56, applist=plb pplb4d fw, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.74, applist=plb pplb4d fw, point=10,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.08, applist=plb pplb4d fw, point=11,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=11,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.87, applist=plb pplb4d fw, point=11,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=12,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.73, applist=plb pplb4d fw, point=12,router3, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d fw, point=13,router9, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d fw, point=14,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.77, applist=plb pplb4d fw, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.86, applist=plb pplb4d fw, point=15,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.85, applist=plb pplb4d fw, point=15,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=16,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.84, applist=plb pplb4d fw, point=16,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=17,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=17,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.71, applist=plb pplb4d fw, point=17,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=18,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.72, applist=plb pplb4d fw, point=18,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=5.82, applist=plb pplb4d fw, point=19,router3, eth3
conflict, bw difference=5.82, applist=plb pplb4d fw, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=20,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=20,router3, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d fw, point=21,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.84, applist=plb pplb4d fw, point=22,router3, eth3
Experiment finished at 210908_234047
