210928_185223
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=1, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=0, cdp=1, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=1, cdp=2, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for nc test, pc7, iso=0, cdp=1, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for nc test, pc8, iso=2, cdp=1, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=1, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=0, cdp=1, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=1, cdp=2, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for nc test, pc7, iso=0, cdp=1, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for nc test, pc8, iso=2, cdp=1, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=1, cdp=0, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=0, cdp=1, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=1, cdp=2, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for nc test, pc7, iso=0, cdp=1, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for nc test, pc8, iso=2, cdp=1, applist=eplb hs, point=3
Experiment finished at 210928_191246
