210925_203655
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=1, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=2, cdp=1, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc6, iso=1, cdp=4, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc6, iso=2, cdp=4, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=3, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=4, cdp=0, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc5, iso=3, cdp=4, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=1, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=1, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=2, cdp=1, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc6, iso=1, cdp=4, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc6, iso=2, cdp=4, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=3, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=4, cdp=0, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc5, iso=3, cdp=4, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=1, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=1, cdp=0, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=2, cdp=1, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc6, iso=1, cdp=4, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc6, iso=2, cdp=4, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=3, cdp=0, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=4, cdp=0, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc5, iso=3, cdp=4, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=1, cdp=0, applist=eplb hs, point=3
Experiment finished at 210925_210046
