210729_041403
Conflict for bw of unused port in isolation=0, bw in codeployment=18.78, applist=fw pe, point=1,router3, eth3
conflict, bw difference=18.78, applist=fw pe, point=1,router3, eth3
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=fw pe, point=1,router3, eth4
conflict, bw difference=18.86, applist=fw pe, point=1,router3, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=fw pe, point=1,router3, eth4
conflict, bw difference=18.86, applist=fw pe, point=1,router3, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=fw pe, point=2,router3, eth4
conflict, bw difference=18.86, applist=fw pe, point=2,router3, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=fw pe, point=2,router3, eth4
conflict, bw difference=18.86, applist=fw pe, point=2,router3, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=fw pe, point=3,router3, eth4
conflict, bw difference=18.86, applist=fw pe, point=3,router3, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=fw pe, point=3,router3, eth4
conflict, bw difference=18.86, applist=fw pe, point=3,router3, eth4
Experiment finished at 210729_045233
